Transaction date,Card last 4,Purchased amount,Purchased currency,Merchant,Merchant category,Payment status,Policy,Amount,Currency,Itemized expense parent ID,Expense status,Transaction type,Expense ID,Created from URL,Card transaction reference ID,Original amount,Original currency,Spending entity
03/28/2026,2119,22.35,EUR,Amazon River GT,General merchandise,Completed,General,26.62,USD,,Approved,Card,expense_cmnaoes4dg1w50126ck5idk3c,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbmFvZXM0ZGcxdzUwMTI2Y2s1aWRrM2M=,ctxop_cmnbt7w1qa64o01196h3iompe,22.35,EUR,Hadar Shemesh International (LLC)
03/28/2026,6004,554,ILS,Delicatessen,Grocery,Completed,Private,182.74,USD,,Submitted,Card,expense_cmnaeaz38diko0152ya3x98dt,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbmFlYXozOGRpa28wMTUyeWEzeDk4ZHQ=,ctxop_cmnl0kiv84coe0167huzne62j,554,ILS,Hadar Shemesh International (LLC)
03/27/2026,6004,280,EUR,Pompa,Restaurants,Completed,Private,333.39,USD,,Submitted,Card,expense_cmn9cqq16oxui0182a7bk822d,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjljcXExNm94dWkwMTgyYTdiazgyMmQ=,ctxop_cmna5djf304dv0119o6nmmr8c,280,EUR,Hadar Shemesh International (LLC)
03/27/2026,2119,10.84,USD,Miro,Recurring software & SaaS,Completed,General,10.84,USD,,Approved,Card,expense_cmn94790kiq7l019899bj6dze,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2Ntbjk0Nzkwa2lxN2wwMTk4OTliajZkemU=,ctxop_cmna6cgwq29at0141ms9vvqu9,10.84,USD,Hadar Shemesh International (LLC)
03/27/2026,2119,11.61,USD,Claude,Recurring software & SaaS,Completed,General,11.61,USD,,Approved,Card,expense_cmn8pdyf9i6ae0116ppc11f6s,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjhwZHlmOWk2YWUwMTE2cHBjMTFmNnM=,ctxop_cmn8ymxoe1c9q01280e3xs68t,11.61,USD,Hadar Shemesh International (LLC)
03/27/2026,2119,10,USD,Midjourney Inc.,Recurring software & SaaS,Completed,General,10.00,USD,,Approved,Card,expense_cmn8mwz6kau420198bvj5rake,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2Ntbjhtd3o2a2F1NDIwMTk4YnZqNXJha2U=,ctxop_cmn8yora81ejy0199dtmj9bod,10,USD,Hadar Shemesh International (LLC)
03/26/2026,6004,39.75,EUR,Armando Corpas Gil,Consultant & contractor,Completed,Private,47.43,USD,,Submitted,Card,expense_cmn83nx3t0uhx01620lpgcnoc,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjgzbngzdDB1aHgwMTYyMGxwZ2Nub2M=,ctxop_cmn9xa6zm0gms0141szwkvbpu,39.75,EUR,Hadar Shemesh International (LLC)
03/26/2026,6004,137.5,EUR,Kodawari Ramen,Restaurants,Completed,Private,164.74,USD,,Submitted,Card,expense_cmn7s9fqoln3n0166xs5ljkgu,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjdzOWZxb2xuM24wMTY2eHM1bGprZ3U=,ctxop_cmn8u6olb0d120175xicv9684,137.5,EUR,Hadar Shemesh International (LLC)
03/26/2026,1706,47.4,EUR,Florclick.com,Flowers,Completed,leadership,56.79,USD,,Approved,Card,expense_cmn7l1ljmkp5j0106pnuzxyzr,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjdsMWxqbWtwNWowMTA2cG51enh5enI=,ctxop_cmn8ba0nh0rbi0176qw6xnef4,47.4,EUR,Hadar Shemesh International (LLC)
03/26/2026,2119,12.12,USD,Claude,Recurring software & SaaS,Completed,General,12.12,USD,,Approved,Card,expense_cmn7iaqerfz1x0120hobonpy9,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjdpYXFlcmZ6MXgwMTIwaG9ib25weTk=,ctxop_cmn86cric0iqg0188jrcwsdtt,12.12,USD,Hadar Shemesh International (LLC)
03/25/2026,6004,119,EUR,Oenosteria,Restaurants,Completed,Private,142.57,USD,,Submitted,Card,expense_cmn6k7e6dpi5a0170oj0l143q,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjZrN2U2ZHBpNWEwMTcwb2owbDE0M3E=,ctxop_cmn72m1984fzb0108fhc3qebw,119,EUR,Hadar Shemesh International (LLC)
03/25/2026,6004,30,EUR,Atelier V,Other travel expenses,Completed,Private,35.97,USD,,Submitted,Card,expense_cmn6bwxm0nysi0106nil6nrlk,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjZid3htMG55c2kwMTA2bmlsNm5ybGs=,ctxop_cmn79kjl35s3m0108j1dozf91,30,EUR,Hadar Shemesh International (LLC)
03/25/2026,6004,46.75,EUR,Soho House* Sh Shds Ho,Restaurants,Completed,Private,56.04,USD,,Submitted,Card,expense_cmn6a4evtmtu00106y73lowpf,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjZhNGV2dG10dTAwMTA2eTczbG93cGY=,ctxop_cmn6rgqq31c2f0159mtimrgi6,46.75,EUR,Hadar Shemesh International (LLC)
03/25/2026,1706,31.9,EUR,Bloemen Bezorgen Groningen,Flowers,Completed,leadership,38.24,USD,,Approved,Card,expense_cmn675iwjixvr0192uk0o35ps,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjY3NWl3aml4dnIwMTkydWswbzM1cHM=,ctxop_cmn6vtlfl3qhd0108kvbmywc8,31.9,EUR,Hadar Shemesh International (LLC)
03/25/2026,6004,1023.18,USD,Holiday Lines Ltd,Other travel expenses,Completed,Private,1023.18,USD,,Submitted,Card,expense_cmn5v0x09efg00106hgg876vu,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjV2MHgwOWVmZzAwMTA2aGdnODc2dnU=,ctxop_cmn8hydfq1mzz0188e333fc3y,1023.18,USD,Hadar Shemesh International (LLC)
03/25/2026,6004,41.65,EUR,SumUp  *TAXI LLIC 134,Other travel expenses,Completed,Private,49.93,USD,,Submitted,Card,expense_cmn5o9oq569sa0121ohoezmus,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjVvOW9xNTY5c2EwMTIxb2hvZXptdXM=,ctxop_cmn5tow4y1jsr01608xwlfdn3,41.65,EUR,Hadar Shemesh International (LLC)
03/23/2026,2119,24,USD,Tax1099,Consultant & contractor,Completed,General,24.00,USD,,Approved,Card,expense_cmn3sy9jd0o1p01558j98osn2,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjNzeTlqZDBvMXAwMTU1OGo5OG9zbjI=,ctxop_cmn47rgmy3h8801034waxssiv,24,USD,Hadar Shemesh International (LLC)
03/23/2026,6004,24.2,USD,Manus AI,Recurring software & SaaS,Completed,Private,24.20,USD,,Submitted,Card,expense_cmn3gy1h8ttoz0156sh4szgik,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjNneTFoOHR0b3owMTU2c2g0c3pnaWs=,ctxop_cmn3vfehk0fpp0178oy0jzelv,24.2,USD,Hadar Shemesh International (LLC)
03/23/2026,6004,17.79,USD,Tello Mobile,Telephony,Completed,Private,17.79,USD,,Submitted,Card,expense_cmn3b0drunyn20195beq3xp67,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjNiMGRydW55bjIwMTk1YmVxM3hwNjc=,ctxop_cmn4081ar00r80151vchzpy3t,17.79,USD,Hadar Shemesh International (LLC)
03/23/2026,6004,-200,USD,Booking.com,Other travel expenses,Refunded,Private,-200.00,USD,,Approved,Card,expense_cmn2ryc36hhf20189iziawdfa,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjJyeWMzNmhoZjIwMTg5aXppYXdkZmE=,ctxop_cmn2ryacuc0dl015088nzj51x,-200,USD,Hadar Shemesh International (LLC)
03/23/2026,6004,-231.5,USD,Sh Nashville Hotel,Lodging,Refunded,Private,-231.50,USD,,Approved,Card,expense_cmn2g1zh5duax0189nx41tb2s,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjJnMXpoNWR1YXgwMTg5bng0MXRiMnM=,ctxop_cmn2g1ywy8xaa0133d3t3ad7e,-231.5,USD,Hadar Shemesh International (LLC)
03/22/2026,6004,200,USD,Booking.com,Other travel expenses,Completed,Private,200.00,USD,,Submitted,Card,expense_cmn1q36vo8e6j0189jxcrod6y,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjFxMzZ2bzhlNmowMTg5anhjcm9kNnk=,ctxop_cmn2ryagac0dq0150tkdsjmxw,200,USD,Hadar Shemesh International (LLC)
03/21/2026,2119,700,ILS,Adobe,Recurring software & SaaS,Completed,General,233.18,USD,,Approved,Card,expense_cmn0kfm0lgf2c01941ux2mmjl,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbjBrZm0wbGdmMmMwMTk0MXV4Mm1tamw=,ctxop_cmn1oaaoi97v70150cd9iw7fm,700,ILS,Hadar Shemesh International (LLC)
03/20/2026,1706,1199,PHP,Fully Booked,Other business expenses,Completed,leadership,20.73,USD,,Approved,Card,expense_cmmyp2ssycv4p0160onzjanto,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXlwMnNzeWN2NHAwMTYwb256amFudG8=,ctxop_cmmzl4tgt0k4i0117frw1r6i9,1199,PHP,Hadar Shemesh International (LLC)
03/20/2026,1706,1199,PHP,Fully Booked,Other business expenses,Completed,leadership,20.73,USD,,Approved,Card,expense_cmmyorl7ncgow01604fchx0d7,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXlvcmw3bmNnb3cwMTYwNGZjaHgwZDc=,ctxop_cmmzl6fz30mkf0120mr13ha5t,1199,PHP,Hadar Shemesh International (LLC)
01/02/2026,6004,-764.7,USD,Cars On Booking,Rideshare & taxi,Refunded,Private,-764.70,USD,,Approved,Card,expense_cmmy6tzdx3b3k0138pnomuvvs,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXk2dHpkeDNiM2swMTM4cG5vbXV2dnM=,ctxop_cmmy6txdl1nit0119g3jvcd84,-764.7,USD,Hadar Shemesh International (LLC)
03/19/2026,6004,894.89,USD,Holiday Lines Ltd,Other travel expenses,Completed,Private,894.89,USD,,Submitted,Card,expense_cmmxo93zrj03p0135s46bqoe3,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXhvOTN6cmowM3AwMTM1czQ2YnFvZTM=,ctxop_cmn1c7rjm6nsh01332uhpoo8t,894.89,USD,Hadar Shemesh International (LLC)
03/18/2026,2119,19.5,USD,Holo AI,Recurring software & SaaS,Completed,General,19.50,USD,,Approved,Card,expense_cmmw1jkdzfzxu01025ueidxiq,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXcxamtkemZ6eHUwMTAyNXVlaWR4aXE=,ctxop_cmmwr5cht1btg0126pbpsrkix,19.5,USD,Hadar Shemesh International (LLC)
03/18/2026,2119,2500,USD,Literary Agent Undercover,Books & newspapers,Completed,General,2500.00,USD,,Approved,Card,expense_cmmvxkxy6dx1y0161ebuoi4fa,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXZ4a3h5NmR4MXkwMTYxZWJ1b2k0ZmE=,ctxop_cmmx9jbsv1vt30136bcp098do,2500,USD,Hadar Shemesh International (LLC)
03/17/2026,2119,129,USD,AddEvent Inc,Recurring software & SaaS,Completed,General,129.00,USD,,Approved,Card,expense_cmmunmm8w5ptr0186yz8bdiw0,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXVubW04dzVwdHIwMTg2eXo4YmRpdzA=,ctxop_cmmvge54n3bc701369lkmhcs6,129,USD,Hadar Shemesh International (LLC)
03/17/2026,6004,10.8,EUR,LADY BABKA,Restaurants,Completed,Private,12.79,USD,,Submitted,Card,expense_cmmul7p8w56z60148j7blmnm8,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXVsN3A4dzU2ejYwMTQ4ajdibG1ubTg=,ctxop_cmmvg3rkv2w820192x3qdi3lr,10.8,EUR,Hadar Shemesh International (LLC)
03/15/2026,2119,19.36,EUR,Fc Transaction - Freepik Premium Mo,Advertising & marketing,Completed,General,23.00,USD,,Approved,Card,expense_cmmrs1usa4out0154ynsxq3mw,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXJzMXVzYTRvdXQwMTU0eW5zeHEzbXc=,ctxop_cmmsg96m8ask20153pba2vcm7,19.36,EUR,Hadar Shemesh International (LLC)
03/15/2026,2119,204.25,EUR,Regus,Rent,Completed,General,242.65,USD,,Approved,Card,expense_cmmr21jqb3fa80154syys0pdy,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXIyMWpxYjNmYTgwMTU0c3l5czBwZHk=,ctxop_cmmsrs5dnc1dp0160njemc9p0,204.25,EUR,Hadar Shemesh International (LLC)
03/14/2026,2119,76.98,EUR,Amazon Lub,General merchandise,Completed,General,91.45,USD,,Approved,Card,expense_cmmqdecj0590b0103a6vyd9q3,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXFkZWNqMDU5MGIwMTAzYTZ2eWQ5cTM=,ctxop_cmmsrvcdcap6g0106pnb2xls5,76.98,EUR,Hadar Shemesh International (LLC)
03/14/2026,2119,25,USD,StreamYard,Recurring software & SaaS,Completed,General,25.00,USD,,Approved,Card,expense_cmmq6xbwqd4q3018449ohs4ch,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXE2eGJ3cWQ0cTMwMTg0NDlvaHM0Y2g=,ctxop_cmmr13s906hp10153ncqays7q,25,USD,Hadar Shemesh International (LLC)
03/14/2026,2119,14.99,USD,iPostal1,Shipping,Completed,General,14.99,USD,,Approved,Card,expense_cmmq0zuyxa5q40172hv8bd18g,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXEwenV5eGE1cTQwMTcyaHY4YmQxOGc=,ctxop_cmmr0wknp677j0160pncy5lyp,14.99,USD,Hadar Shemesh International (LLC)
03/14/2026,6004,47.53,EUR,Bip&Drive,Toll & bridge fees,Completed,Private,56.46,USD,,Submitted,Card,expense_cmmpm44342k3o0172ifmf260c,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbXBtNDQzNDJrM28wMTcyaWZtZjI2MGM=,ctxop_cmmr5ivkr7dmi0153s1ti8r5t,47.53,EUR,Hadar Shemesh International (LLC)
03/13/2026,6004,35.05,EUR,TAXI LICENCIA 3541,Other travel expenses,Completed,Private,41.80,USD,,Submitted,Card,expense_cmmowdtule7b50179xbj6341f,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbW93ZHR1bGU3YjUwMTc5eGJqNjM0MWY=,ctxop_cmmpq60ps0r9j0160dij7hads,35.05,EUR,Hadar Shemesh International (LLC)
03/13/2026,6004,3.6,GBP,Crown Rivers,Restaurants,Completed,Private,4.97,USD,,Submitted,Card,expense_cmmoouuvredno0116h5f6akko,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbW9vdXV2cmVkbm8wMTE2aDVmNmFra28=,ctxop_cmmpxn4dx1u1q01535kyr2rcp,3.6,GBP,Hadar Shemesh International (LLC)
03/13/2026,2119,7,EUR,Todoist,Recurring software & SaaS,Completed,General,8.35,USD,,Approved,Card,expense_cmmoke9uk9a790132d1a2khyr,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbW9rZTl1azlhNzkwMTMyZDFhMmtoeXI=,ctxop_cmmotygav68z801630fo5z445,7,EUR,Hadar Shemesh International (LLC)
03/12/2026,6004,16.44,USD,Evolve By Hudson ,Books & newspapers,Completed,Private,16.44,USD,,Submitted,Card,expense_cmmo2j3sp0fjv0155qbvhj7rv,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbW8yajNzcDBmanYwMTU1cWJ2aGo3cnY=,ctxop_cmmotttog63re0160qxz76rgm,16.44,USD,Hadar Shemesh International (LLC)
03/12/2026,6004,19.76,USD,Lyft,Rideshare & taxi,Completed,Private,19.76,USD,,Submitted,Card,expense_cmmo05b8ir03i0146f61oa2m2,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbW8wNWI4aXIwM2kwMTQ2ZjYxb2EybTI=,ctxop_cmmplfvto0t090124zpdtzt8s,19.76,USD,Hadar Shemesh International (LLC)
03/12/2026,2119,27.09,USD,Claude,Recurring software & SaaS,Completed,General,27.09,USD,,Approved,Card,expense_cmmn7fm4zbz050158jnmp72sj,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbW43Zm00emJ6MDUwMTU4am5tcDcyc2o=,ctxop_cmmnitmk83zfn0182fceiqkyq,27.09,USD,Hadar Shemesh International (LLC)
03/11/2026,6004,3,USD,OMNY,Public transportation,Completed,Private,3.00,USD,,Submitted,Card,expense_cmmm3hhpbhn5m0187s0ytz1kj,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbW0zaGhwYmhuNW0wMTg3czB5dHoxa2o=,ctxop_cmmm3hgti5ymq0139vs8ag755,3,USD,Hadar Shemesh International (LLC)
03/11/2026,6004,3,USD,OMNY,Public transportation,Completed,Private,3.00,USD,,Submitted,Card,expense_cmmm3hfglhbch0100lnhx8o0e,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbW0zaGZnbGhiY2gwMTAwbG5oeDhvMGU=,ctxop_cmmm3heqz74om01955fjyzgct,3,USD,Hadar Shemesh International (LLC)
03/11/2026,6004,2.75,USD,OMNY,Public transportation,Completed,Private,2.75,USD,,Submitted,Card,expense_cmmm3gviu0cgl01897slkzzji,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbW0zZ3ZpdTBjZ2wwMTg5N3Nsa3p6amk=,ctxop_cmmm3gus7741j01956hglum1f,2.75,USD,Hadar Shemesh International (LLC)
03/11/2026,2119,376.23,USD,Demio,Recurring software & SaaS,Completed,General,376.23,USD,,Approved,Card,expense_cmmltqef4ewoc0148rf6sgb02,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbWx0cWVmNGV3b2MwMTQ4cmY2c2diMDI=,ctxop_cmmm3s2le07tf0150b60rds6j,376.23,USD,Hadar Shemesh International (LLC)
03/11/2026,6004,66.28,USD,Pastis DC,Restaurants,Completed,Private,66.28,USD,,Submitted,Card,expense_cmmletkja7f4s0148a3la6eh6,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbWxldGtqYTdmNHMwMTQ4YTNsYTZlaDY=,ctxop_cmmm3q5m805oi0124a9nxj1m9,66.28,USD,Hadar Shemesh International (LLC)
03/10/2026,6004,18.44,USD,Sh Nashville F&b,Lodging,Completed,Private,18.44,USD,,Submitted,Card,expense_cmml4ks9fpa8t01431blg1pot,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbWw0a3M5ZnBhOHQwMTQzMWJsZzFwb3Q=,ctxop_cmmmq2pah0jcx0198qgbcwwua,18.44,USD,Hadar Shemesh International (LLC)
03/10/2026,6004,579.7,USD,Sh Nashville Hotel,Lodging,Completed,Private,579.70,USD,,Submitted,Card,expense_cmmkxfzq7k4lk0136b8s5nhd8,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbWt4ZnpxN2s0bGswMTM2YjhzNW5oZDg=,ctxop_cmmpl6ylf0k0s0198d3dldjyp,579.7,USD,Hadar Shemesh International (LLC)
03/10/2026,6004,104.91,USD,Pastis DC,Restaurants,Completed,Private,104.91,USD,,Submitted,Card,expense_cmmkx13k2jstr01361e0e2xe4,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbWt4MTNrMmpzdHIwMTM2MWUwZTJ4ZTQ=,ctxop_cmmm3r30e07g701665jg6b7zd,104.91,USD,Hadar Shemesh International (LLC)
03/10/2026,6004,39.53,USD,Lyft,Rideshare & taxi,Completed,Private,39.53,USD,,Submitted,Card,expense_cmmkpntn5fjo40176wjvnur90,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbWtwbnRuNWZqbzQwMTc2d2p2bnVyOTA=,ctxop_cmmmqdb6o0v9t01989l9ys83s,39.53,USD,Hadar Shemesh International (LLC)
03/10/2026,6004,5.36,USD,Rossi Pizza,Restaurants,Completed,Private,5.36,USD,,Submitted,Card,expense_cmmkhmo8cb5cm0126ive33bn5,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbWtobW84Y2I1Y20wMTI2aXZlMzNibjU=,ctxop_cmmm3m8hp01mi0166jxqs2e4z,5.36,USD,Hadar Shemesh International (LLC)
03/10/2026,6004,14.16,USD,Protein Bar & Kitchen,Restaurants,Completed,Private,14.16,USD,,Submitted,Card,expense_cmmkguk51b1750126vdfhzqt7,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbWtndWs1MWIxNzUwMTI2dmRmaHpxdDc=,ctxop_cmmlt8qth555p0195tovq5e9h,14.16,USD,Hadar Shemesh International (LLC)
03/10/2026,6004,51.48,USD,BuzzFeed,Books & newspapers,Completed,Private,51.48,USD,,Submitted,Card,expense_cmmkglk7q804l0196krzrss25,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbWtnbGs3cTgwNGwwMTk2a3J6cnNzMjU=,ctxop_cmmlyvmgl6dd70195hgniwpxe,51.48,USD,Hadar Shemesh International (LLC)
03/10/2026,6004,3,USD,MTA Metrocard,Public transportation,Completed,Private,3.00,USD,,Submitted,Card,expense_cmmk0hyc960aj0136dcypnucw,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbWswaHljOTYwYWowMTM2ZGN5cG51Y3c=,ctxop_cmmko3nhl2zm501215f9jy72e,3,USD,Hadar Shemesh International (LLC)
